Date,VMC,EMR,CSX,UNP
1980-03-17,,,,
1980-03-18,-0.03623194315442069,-0.007999927341260427,,0.00928840462485625
1980-03-19,-0.026315591044527076,0.0,,0.03527601127561453
1980-03-20,-0.011582934175248805,-0.00403194958282338,,-0.01777778658299156
1980-03-21,-0.007813172627231246,0.0,,-0.016591183848932434
1980-03-24,0.003937568853495277,-0.02429126804904913,,-0.023006378053796683
1980-03-25,-0.011764802531246898,-0.012448131786182759,,0.014128499513234916
1980-03-26,0.007936043298121254,0.008402956416409424,,-0.004643920024419823
1980-03-27,-0.03936989773446342,0.0,,-0.00777522144591114
1980-03-28,0.028688040213819432,0.029166836372592764,,0.028211928454729307
1980-03-31,0.003984810131077987,0.02429165756814977,,0.022866113563144053
1980-04-01,0.02777792025752479,-0.003952797338820924,,-0.016393836170527698
1980-04-02,0.019304574791771945,0.00396848395162408,,0.0030313817174913993
1980-04-03,-0.030302531481653072,0.007905138339920903,,-0.015105867233684123
1980-04-07,-0.015625213554045114,-0.019608371355623433,,-0.021471997983247726
1980-04-08,0.007936043298121254,0.008000312186279057,,0.0015664295315365173
1980-04-09,0.003937568853495277,0.00396848395162408,,0.014084378420105681
1980-04-10,0.003921688239025389,0.011857783566168179,,-0.00925889445969097
1980-04-11,0.031249469515429285,-0.011718824284156715,,-0.007788088991095177
1980-04-14,0.0,-0.007905518621355023,,-0.014128881214987232
1980-04-15,0.0,-0.003984218596843059,,0.0031846837830271646
1980-04-16,-0.02272713075503463,0.0,,-0.015872289932697292
1980-04-17,0.007751744468586397,-0.01999947199263441,,-0.05322664676547062
1980-04-18,-0.007692117142078625,-0.00816350092539464,,-0.005110168197104081
1980-04-21,0.0038762609401257198,-0.016461146818805505,,-0.02397309928506719
1980-04-22,0.015443109141968447,0.020921156290142573,,0.07017532821251993
1980-04-23,0.0038027395282305143,0.024589450301322424,,0.008196447684505781
1980-04-24,-0.015151561196565355,0.004000156093139529,,-0.029267639862755934
1980-04-25,-0.007692117142078625,0.00796851385602837,,0.028474831336660733
1980-04-28,0.0,0.0,,-0.027686463945504003
1980-04-29,0.0,0.011857783566168179,,0.0
1980-04-30,0.0038762609401257198,0.007812273917783719,,0.0016755351102801797
1980-05-01,0.015443109141968447,-0.007751715393794711,,-0.010033751462217744
1980-05-02,-0.015208246530933334,0.011718673954163705,,0.023647907000718504
1980-05-05,0.0,0.0463327149813324,,-0.0033003005698941656
1980-05-06,0.0038605191488754187,-0.007380495111763974,,0.00993388713704113
1980-05-07,0.007692888573801904,0.011152199366164961,,0.021311481454133308
1980-05-08,-0.01526755412321612,-0.018382918889428446,,0.0016054145811921217
1980-05-09,0.007751744468586397,-0.026217315648238704,,-0.008013622300672596
1980-05-12,0.007692888573801904,-0.007691794755316561,,0.004847270853251651
1980-05-13,-0.01526755412321612,0.011627834128878245,,0.0032155019581012745
1980-05-14,0.007751744468586397,-0.0038318608223913975,,-0.012820490340479607
1980-05-15,0.0,0.003846600459993521,,-0.012986693883536127
1980-05-16,-0.007692117142078625,0.026820740279385635,,0.0
1980-05-19,0.0,0.01586047947615188,,0.0032888419219370135
1980-05-20,-0.015504179969763832,0.029739126132620974,,0.003279256688530685
1980-05-21,0.00787469900998361,0.0,,0.006535686095571647
1980-05-22,0.031249469515429285,0.010830944130928888,,0.02272715834982164
1980-05-23,0.0,0.0,,0.06666662807237134
1980-05-27,0.0,0.014285571692097987,,0.03869057149168342
1980-05-28,0.0,-0.01408436843705263,,0.005730692712340613
1980-05-29,0.0,0.007142853747771127,,-0.045583705885765546
1980-05-30,0.0,-0.0070921952344606964,,0.02089468446492493
1980-06-02,0.0,0.010714212719934446,,-0.005847990114981605
1980-06-03,0.01893938818376273,0.0,,-0.017646366304367
1980-06-04,0.0037174213021140545,0.003533500298321224,,0.0419158581658845
1980-06-05,0.003703570722559446,0.017606230418061086,,0.019699123196659674
1980-06-06,-0.018449771200403253,0.0,,-0.011363911803094262
1980-06-09,0.01879656349626324,0.0034592834060511723,,-0.0028730272357575526
1980-06-10,0.003690316076085942,-0.006896355043194413,,0.011526958880125004
1980-06-11,-0.022058683761187914,0.006944245022375561,,0.01424467458818146
1980-06-12,0.007519111329463479,0.0,,0.005617862392223394
1980-06-13,0.00746208151460892,0.017241641551602793,,-0.019552632033257633
1980-06-16,0.02222257989564458,0.0033893784908456404,,0.0028491582395566706
1980-06-17,0.025361722317506663,-0.0033779294095611645,,-0.02272671016894523
1980-06-18,0.0,0.0,,0.011627042797634823
1980-06-19,0.014134007651041669,-0.01694940596936645,,-0.022989242629891993
1980-06-20,-0.017421141210854474,-0.024137537672595744,,-0.04411760924281638
1980-06-23,0.0,-0.003533500298321335,,-0.02153724246932598
1980-06-24,0.003545893034136549,0.017730016145103278,,0.03144520941651652
1980-06-25,0.0,0.027874829442386062,,0.00609826659993562
1980-06-26,0.007067909432670216,-0.006780110412919593,,0.048485765950524895
1980-06-27,0.0070165061881002355,0.006826394118766954,,-0.005780309549526574
1980-06-30,-0.0034835759743677697,-0.010169360005552908,,-0.005815055112920797
1980-07-01,-0.003496221232227037,0.0,,-0.011695667232817342
1980-07-02,0.0,-0.006849703060163415,,0.0
1980-07-03,-0.014035671032284203,0.0034481447414400623,,0.04142042076729613
1980-07-07,0.010676329031141574,0.0,,0.02556803071579372
1980-07-08,0.0140848629254402,-0.0034362958958167322,,-0.013850753268852989
1980-07-09,0.027777541335120226,-0.006896355043194413,,0.0028092275996025595
1980-07-10,-0.006756889022737522,-0.01041719272833086,,-0.011204587295421176
